service_desk_enabled;default_branch;security_and_compliance_enabled;squash_commit_template;id;auto_devops_deploy_strategy;resolve_outdated_diff_discussions;visibility;service_desk_address;path;readme_url;empty_repo;autoclose_referenced_issues;snippets_access_level;builds_access_level;build_timeout;printing_merge_request_link_enabled;keep_latest_artifact;can_create_merge_request_in;packages_enabled;forked_from_project;ci_forward_deployment_enabled;security_and_compliance_access_level;ci_config_path;shared_runners_enabled;topics;auto_devops_enabled;enforce_auth_checks_on_uploads;star_count;snippets_enabled;wiki_access_level;forking_access_level;permissions;last_activity_at;jobs_enabled;request_access_enabled;compliance_frameworks;lfs_enabled;created_at;_links;restrict_user_defined_variables;description;issues_access_level;issues_enabled;allow_merge_on_skipped_pipeline;squash_option;remove_source_branch_after_merge;public_jobs;archived;import_status;shared_with_groups;merge_requests_enabled;namespace;http_url_to_repo;merge_requests_access_level;external_authorization_classification_label;merge_commit_template;only_allow_merge_if_all_discussions_are_resolved;requirements_access_level;only_allow_merge_if_pipeline_succeeds;container_registry_enabled;container_registry_image_prefix;open_issues_count;name;mr_default_target_self;runner_token_expiration_interval;analytics_access_level;tag_list;ci_job_token_scope_enabled;operations_access_level;creator_id;pages_access_level;ssh_url_to_repo;suggestion_commit_message;web_url;auto_cancel_pending_pipelines;emails_disabled;container_expiration_policy;ci_default_git_depth;forks_count;requirements_enabled;path_with_namespace;avatar_url;owner;name_with_namespace;wiki_enabled;container_registry_access_level;merge_method;repository_access_level;import_type;import_url
True;master;True;None;11178033;continuous;False;private;contact-project+acdh-oeaw-repo-userstories-11178033-issue-@incoming.gitlab.com;repo-userstories;https://gitlab.com/acdh-oeaw/repo-userstories/-/blob/master/README.md;False;True;enabled;enabled;3600;True;True;True;True;;None;private;None;False;[];False;True;0;True;enabled;enabled;{'project_access': None, 'group_access': {'access_level': 50, 'notification_level': 3}};2020-10-16T09:35:14.093Z;True;False;[];True;2019-03-06T09:27:10.064Z;{'self': 'https://gitlab.com/api/v4/projects/11178033', 'issues': 'https://gitlab.com/api/v4/projects/11178033/issues', 'merge_requests': 'https://gitlab.com/api/v4/projects/11178033/merge_requests', 'repo_branches': 'https://gitlab.com/api/v4/projects/11178033/repository/branches', 'labels': 'https://gitlab.com/api/v4/projects/11178033/labels', 'events': 'https://gitlab.com/api/v4/projects/11178033/events', 'members': 'https://gitlab.com/api/v4/projects/11178033/members', 'cluster_agents': 'https://gitlab.com/api/v4/projects/11178033/cluster_agents'};False;;enabled;True;None;default_off;None;True;False;none;[];True;{'id': 4707494, 'name': 'ACDH-CH', 'path': 'acdh-oeaw', 'kind': 'group', 'full_path': 'acdh-oeaw', 'parent_id': None, 'avatar_url': '/uploads/-/system/group/avatar/4707494/acdh-ch-logo.png', 'web_url': 'https://gitlab.com/groups/acdh-oeaw'};https://gitlab.com/acdh-oeaw/repo-userstories.git;enabled;;None;False;enabled;False;True;registry.gitlab.com/acdh-oeaw/repo-userstories;0;repo-userstories;;None;enabled;[];False;enabled;3571033;private;git@gitlab.com:acdh-oeaw/repo-userstories.git;None;https://gitlab.com/acdh-oeaw/repo-userstories;enabled;None;;None;0;False;acdh-oeaw/repo-userstories;https://gitlab.com/acdh-oeaw/repo-userstories/-/avatar;;ACDH-CH / repo-userstories;True;enabled;merge;enabled;None;None
True;master;True;None;11178378;continuous;False;private;contact-project+acdh-oeaw-repo-software-stack-11178378-issue-@incoming.gitlab.com;repo-software-stack;https://gitlab.com/acdh-oeaw/repo-software-stack/-/blob/master/README.md;False;True;enabled;enabled;3600;True;True;True;True;;None;private;None;False;[];False;True;0;True;enabled;enabled;{'project_access': None, 'group_access': {'access_level': 50, 'notification_level': 3}};2021-08-23T09:59:35.858Z;True;False;[];True;2019-03-06T09:47:50.206Z;{'self': 'https://gitlab.com/api/v4/projects/11178378', 'issues': 'https://gitlab.com/api/v4/projects/11178378/issues', 'merge_requests': 'https://gitlab.com/api/v4/projects/11178378/merge_requests', 'repo_branches': 'https://gitlab.com/api/v4/projects/11178378/repository/branches', 'labels': 'https://gitlab.com/api/v4/projects/11178378/labels', 'events': 'https://gitlab.com/api/v4/projects/11178378/events', 'members': 'https://gitlab.com/api/v4/projects/11178378/members', 'cluster_agents': 'https://gitlab.com/api/v4/projects/11178378/cluster_agents'};False;;enabled;True;None;default_off;None;True;False;none;[];True;{'id': 4707494, 'name': 'ACDH-CH', 'path': 'acdh-oeaw', 'kind': 'group', 'full_path': 'acdh-oeaw', 'parent_id': None, 'avatar_url': '/uploads/-/system/group/avatar/4707494/acdh-ch-logo.png', 'web_url': 'https://gitlab.com/groups/acdh-oeaw'};https://gitlab.com/acdh-oeaw/repo-software-stack.git;enabled;;None;False;enabled;False;True;registry.gitlab.com/acdh-oeaw/repo-software-stack;1;repo-software-stack;;None;enabled;[];False;enabled;3571033;private;git@gitlab.com:acdh-oeaw/repo-software-stack.git;None;https://gitlab.com/acdh-oeaw/repo-software-stack;enabled;None;;None;0;False;acdh-oeaw/repo-software-stack;None;;ACDH-CH / repo-software-stack;True;enabled;merge;enabled;None;None
True;master;True;None;11180432;continuous;False;private;contact-project+acdh-oeaw-docker-tools-environments-priv-11180432-issue-@incoming.gitlab.com;docker-tools-environments-priv;None;False;True;enabled;enabled;3600;True;True;True;True;;None;private;None;False;[];False;True;0;True;enabled;enabled;{'project_access': None, 'group_access': {'access_level': 50, 'notification_level': 3}};2022-05-12T11:14:16.416Z;True;False;[];True;2019-03-06T12:06:23.667Z;{'self': 'https://gitlab.com/api/v4/projects/11180432', 'issues': 'https://gitlab.com/api/v4/projects/11180432/issues', 'merge_requests': 'https://gitlab.com/api/v4/projects/11180432/merge_requests', 'repo_branches': 'https://gitlab.com/api/v4/projects/11180432/repository/branches', 'labels': 'https://gitlab.com/api/v4/projects/11180432/labels', 'events': 'https://gitlab.com/api/v4/projects/11180432/events', 'members': 'https://gitlab.com/api/v4/projects/11180432/members', 'cluster_agents': 'https://gitlab.com/api/v4/projects/11180432/cluster_agents'};False;;enabled;True;None;default_off;None;True;False;none;[];True;{'id': 4707494, 'name': 'ACDH-CH', 'path': 'acdh-oeaw', 'kind': 'group', 'full_path': 'acdh-oeaw', 'parent_id': None, 'avatar_url': '/uploads/-/system/group/avatar/4707494/acdh-ch-logo.png', 'web_url': 'https://gitlab.com/groups/acdh-oeaw'};https://gitlab.com/acdh-oeaw/docker-tools-environments-priv.git;enabled;;None;False;enabled;False;True;registry.gitlab.com/acdh-oeaw/docker-tools-environments-priv;0;docker-tools-environments-priv;;None;enabled;[];False;enabled;3571033;private;git@gitlab.com:acdh-oeaw/docker-tools-environments-priv.git;None;https://gitlab.com/acdh-oeaw/docker-tools-environments-priv;enabled;None;;None;0;False;acdh-oeaw/docker-tools-environments-priv;None;;ACDH-CH / docker-tools-environments-priv;True;enabled;merge;enabled;None;None
True;master;True;None;11181468;continuous;False;private;contact-project+acdh-oeaw-icinga-config-11181468-issue-@incoming.gitlab.com;icinga-config;None;False;True;enabled;enabled;3600;True;True;True;True;;None;private;None;False;[];False;True;0;True;enabled;enabled;{'project_access': None, 'group_access': {'access_level': 50, 'notification_level': 3}};2022-04-22T09:52:55.372Z;True;False;[];True;2019-03-06T12:59:06.827Z;{'self': 'https://gitlab.com/api/v4/projects/11181468', 'issues': 'https://gitlab.com/api/v4/projects/11181468/issues', 'merge_requests': 'https://gitlab.com/api/v4/projects/11181468/merge_requests', 'repo_branches': 'https://gitlab.com/api/v4/projects/11181468/repository/branches', 'labels': 'https://gitlab.com/api/v4/projects/11181468/labels', 'events': 'https://gitlab.com/api/v4/projects/11181468/events', 'members': 'https://gitlab.com/api/v4/projects/11181468/members', 'cluster_agents': 'https://gitlab.com/api/v4/projects/11181468/cluster_agents'};False;;enabled;True;None;default_off;None;True;False;none;[];True;{'id': 4707494, 'name': 'ACDH-CH', 'path': 'acdh-oeaw', 'kind': 'group', 'full_path': 'acdh-oeaw', 'parent_id': None, 'avatar_url': '/uploads/-/system/group/avatar/4707494/acdh-ch-logo.png', 'web_url': 'https://gitlab.com/groups/acdh-oeaw'};https://gitlab.com/acdh-oeaw/icinga-config.git;enabled;;None;False;enabled;False;True;registry.gitlab.com/acdh-oeaw/icinga-config;0;icinga-config;;None;enabled;[];False;enabled;3571033;private;git@gitlab.com:acdh-oeaw/icinga-config.git;None;https://gitlab.com/acdh-oeaw/icinga-config;enabled;None;;None;0;False;acdh-oeaw/icinga-config;None;;ACDH-CH / icinga-config;True;enabled;merge;enabled;None;None
True;master;True;None;11185144;continuous;False;private;;japan-bibliographie;https://gitlab.com/acdh-oeaw/japan-bibliographie/japan-bibliographie/-/blob/master/README.md;False;True;enabled;enabled;3600;True;True;False;True;;None;private;None;False;[];False;True;0;True;enabled;enabled;{'project_access': None, 'group_access': None};2019-04-08T10:05:18.341Z;True;False;[];True;2019-03-06T16:12:58.521Z;{'self': 'https://gitlab.com/api/v4/projects/11185144', 'issues': 'https://gitlab.com/api/v4/projects/11185144/issues', 'merge_requests': 'https://gitlab.com/api/v4/projects/11185144/merge_requests', 'repo_branches': 'https://gitlab.com/api/v4/projects/11185144/repository/branches', 'labels': 'https://gitlab.com/api/v4/projects/11185144/labels', 'events': 'https://gitlab.com/api/v4/projects/11185144/events', 'members': 'https://gitlab.com/api/v4/projects/11185144/members', 'cluster_agents': 'https://gitlab.com/api/v4/projects/11185144/cluster_agents'};False;https://www.oeaw.ac.at/jb80;enabled;True;None;default_off;None;True;True;none;[];True;{'id': 4748467, 'name': 'Japan-Bibliographie', 'path': 'japan-bibliographie', 'kind': 'group', 'full_path': 'acdh-oeaw/japan-bibliographie', 'parent_id': 4707494, 'avatar_url': None, 'web_url': 'https://gitlab.com/groups/acdh-oeaw/japan-bibliographie'};https://gitlab.com/acdh-oeaw/japan-bibliographie/japan-bibliographie.git;enabled;;None;False;enabled;False;True;registry.gitlab.com/acdh-oeaw/japan-bibliographie/japan-bibliographie;0;Japan-Bibliographie;;None;enabled;[];False;enabled;3649642;private;git@gitlab.com:acdh-oeaw/japan-bibliographie/japan-bibliographie.git;None;https://gitlab.com/acdh-oeaw/japan-bibliographie/japan-bibliographie;enabled;None;;None;0;False;acdh-oeaw/japan-bibliographie/japan-bibliographie;https://gitlab.com/uploads/-/system/project/avatar/11185144/utamaro_letter.jpg;;ACDH-CH / Japan-Bibliographie / Japan-Bibliographie;True;enabled;merge;enabled;None;None
True;master;True;None;11185412;continuous;False;private;contact-project+acdh-oeaw-japan-bibliographie-mass-updates-11185412-issue-@incoming.gitlab.com;mass-updates;None;False;True;enabled;enabled;3600;True;True;True;True;;None;private;None;False;[];False;True;0;True;enabled;enabled;{'project_access': None, 'group_access': None};2019-05-07T14:04:12.495Z;True;False;[];True;2019-03-06T16:28:28.755Z;{'self': 'https://gitlab.com/api/v4/projects/11185412', 'issues': 'https://gitlab.com/api/v4/projects/11185412/issues', 'merge_requests': 'https://gitlab.com/api/v4/projects/11185412/merge_requests', 'repo_branches': 'https://gitlab.com/api/v4/projects/11185412/repository/branches', 'labels': 'https://gitlab.com/api/v4/projects/11185412/labels', 'events': 'https://gitlab.com/api/v4/projects/11185412/events', 'members': 'https://gitlab.com/api/v4/projects/11185412/members', 'cluster_agents': 'https://gitlab.com/api/v4/projects/11185412/cluster_agents'};False;;enabled;True;None;default_off;None;True;False;none;[];True;{'id': 4748467, 'name': 'Japan-Bibliographie', 'path': 'japan-bibliographie', 'kind': 'group', 'full_path': 'acdh-oeaw/japan-bibliographie', 'parent_id': 4707494, 'avatar_url': None, 'web_url': 'https://gitlab.com/groups/acdh-oeaw/japan-bibliographie'};https://gitlab.com/acdh-oeaw/japan-bibliographie/mass-updates.git;enabled;;None;False;enabled;False;True;registry.gitlab.com/acdh-oeaw/japan-bibliographie/mass-updates;0;mass-updates;;None;enabled;[];False;enabled;3649642;private;git@gitlab.com:acdh-oeaw/japan-bibliographie/mass-updates.git;None;https://gitlab.com/acdh-oeaw/japan-bibliographie/mass-updates;enabled;None;;None;0;False;acdh-oeaw/japan-bibliographie/mass-updates;None;;ACDH-CH / Japan-Bibliographie / mass-updates;True;enabled;merge;enabled;None;None
True;master;True;None;11217248;continuous;False;private;contact-project+acdh-oeaw-baffle-11217248-issue-@incoming.gitlab.com;baffle;https://gitlab.com/acdh-oeaw/baffle/-/blob/master/README.md;False;True;enabled;enabled;3600;True;True;True;True;;None;private;None;False;[];False;True;0;True;enabled;enabled;{'project_access': None, 'group_access': {'access_level': 50, 'notification_level': 3}};2019-03-08T10:40:23.836Z;True;False;[];True;2019-03-08T10:40:23.836Z;{'self': 'https://gitlab.com/api/v4/projects/11217248', 'issues': 'https://gitlab.com/api/v4/projects/11217248/issues', 'merge_requests': 'https://gitlab.com/api/v4/projects/11217248/merge_requests', 'repo_branches': 'https://gitlab.com/api/v4/projects/11217248/repository/branches', 'labels': 'https://gitlab.com/api/v4/projects/11217248/labels', 'events': 'https://gitlab.com/api/v4/projects/11217248/events', 'members': 'https://gitlab.com/api/v4/projects/11217248/members', 'cluster_agents': 'https://gitlab.com/api/v4/projects/11217248/cluster_agents'};False;None;enabled;True;None;default_off;None;True;False;none;[];True;{'id': 4707494, 'name': 'ACDH-CH', 'path': 'acdh-oeaw', 'kind': 'group', 'full_path': 'acdh-oeaw', 'parent_id': None, 'avatar_url': '/uploads/-/system/group/avatar/4707494/acdh-ch-logo.png', 'web_url': 'https://gitlab.com/groups/acdh-oeaw'};https://gitlab.com/acdh-oeaw/baffle.git;enabled;;None;False;enabled;False;True;registry.gitlab.com/acdh-oeaw/baffle;0;baffle;;None;enabled;[];False;enabled;3649744;private;git@gitlab.com:acdh-oeaw/baffle.git;None;https://gitlab.com/acdh-oeaw/baffle;enabled;None;;None;0;False;acdh-oeaw/baffle;None;;ACDH-CH / baffle;True;enabled;merge;enabled;None;None
True;master;True;None;11217589;continuous;False;private;contact-project+acdh-oeaw-common-utils-11217589-issue-@incoming.gitlab.com;common-utils;https://gitlab.com/acdh-oeaw/common-utils/-/blob/master/README.md;False;True;enabled;enabled;3600;True;True;True;True;;None;private;None;False;[];False;True;0;True;enabled;enabled;{'project_access': None, 'group_access': {'access_level': 50, 'notification_level': 3}};2021-09-03T10:27:47.946Z;True;False;[];True;2019-03-08T11:00:34.649Z;{'self': 'https://gitlab.com/api/v4/projects/11217589', 'issues': 'https://gitlab.com/api/v4/projects/11217589/issues', 'merge_requests': 'https://gitlab.com/api/v4/projects/11217589/merge_requests', 'repo_branches': 'https://gitlab.com/api/v4/projects/11217589/repository/branches', 'labels': 'https://gitlab.com/api/v4/projects/11217589/labels', 'events': 'https://gitlab.com/api/v4/projects/11217589/events', 'members': 'https://gitlab.com/api/v4/projects/11217589/members', 'cluster_agents': 'https://gitlab.com/api/v4/projects/11217589/cluster_agents'};False;None;enabled;True;None;default_off;None;True;False;none;[];True;{'id': 4707494, 'name': 'ACDH-CH', 'path': 'acdh-oeaw', 'kind': 'group', 'full_path': 'acdh-oeaw', 'parent_id': None, 'avatar_url': '/uploads/-/system/group/avatar/4707494/acdh-ch-logo.png', 'web_url': 'https://gitlab.com/groups/acdh-oeaw'};https://gitlab.com/acdh-oeaw/common-utils.git;enabled;;None;False;enabled;False;True;registry.gitlab.com/acdh-oeaw/common-utils;0;common-utils;;None;enabled;[];False;enabled;3649744;private;git@gitlab.com:acdh-oeaw/common-utils.git;None;https://gitlab.com/acdh-oeaw/common-utils;enabled;None;;None;0;False;acdh-oeaw/common-utils;None;;ACDH-CH / common-utils;True;enabled;merge;enabled;None;None
True;master;True;None;11217605;continuous;False;private;contact-project+acdh-oeaw-dbnary-utils-11217605-issue-@incoming.gitlab.com;dbnary_utils;https://gitlab.com/acdh-oeaw/dbnary_utils/-/blob/master/README.md;False;True;enabled;enabled;3600;True;True;True;True;;None;private;None;False;[];False;True;0;True;enabled;enabled;{'project_access': None, 'group_access': {'access_level': 50, 'notification_level': 3}};2022-01-14T10:49:09.056Z;True;False;[];True;2019-03-08T11:01:45.293Z;{'self': 'https://gitlab.com/api/v4/projects/11217605', 'issues': 'https://gitlab.com/api/v4/projects/11217605/issues', 'merge_requests': 'https://gitlab.com/api/v4/projects/11217605/merge_requests', 'repo_branches': 'https://gitlab.com/api/v4/projects/11217605/repository/branches', 'labels': 'https://gitlab.com/api/v4/projects/11217605/labels', 'events': 'https://gitlab.com/api/v4/projects/11217605/events', 'members': 'https://gitlab.com/api/v4/projects/11217605/members', 'cluster_agents': 'https://gitlab.com/api/v4/projects/11217605/cluster_agents'};False;None;enabled;True;None;default_off;None;True;False;none;[];True;{'id': 4707494, 'name': 'ACDH-CH', 'path': 'acdh-oeaw', 'kind': 'group', 'full_path': 'acdh-oeaw', 'parent_id': None, 'avatar_url': '/uploads/-/system/group/avatar/4707494/acdh-ch-logo.png', 'web_url': 'https://gitlab.com/groups/acdh-oeaw'};https://gitlab.com/acdh-oeaw/dbnary_utils.git;enabled;;None;False;enabled;False;True;registry.gitlab.com/acdh-oeaw/dbnary_utils;0;dbnary_utils;;None;enabled;[];False;enabled;3649744;private;git@gitlab.com:acdh-oeaw/dbnary_utils.git;None;https://gitlab.com/acdh-oeaw/dbnary_utils;enabled;None;;None;0;False;acdh-oeaw/dbnary_utils;None;;ACDH-CH / dbnary_utils;True;enabled;merge;enabled;None;None
True;master;True;None;11217607;continuous;False;private;contact-project+acdh-oeaw-parlat-utils-11217607-issue-@incoming.gitlab.com;parlat_utils;https://gitlab.com/acdh-oeaw/parlat_utils/-/blob/master/README.txt;False;True;enabled;enabled;3600;True;True;True;True;;None;private;None;False;[];False;True;0;True;enabled;enabled;{'project_access': None, 'group_access': {'access_level': 50, 'notification_level': 3}};2022-05-11T15:51:12.664Z;True;False;[];True;2019-03-08T11:02:07.929Z;{'self': 'https://gitlab.com/api/v4/projects/11217607', 'issues': 'https://gitlab.com/api/v4/projects/11217607/issues', 'merge_requests': 'https://gitlab.com/api/v4/projects/11217607/merge_requests', 'repo_branches': 'https://gitlab.com/api/v4/projects/11217607/repository/branches', 'labels': 'https://gitlab.com/api/v4/projects/11217607/labels', 'events': 'https://gitlab.com/api/v4/projects/11217607/events', 'members': 'https://gitlab.com/api/v4/projects/11217607/members', 'cluster_agents': 'https://gitlab.com/api/v4/projects/11217607/cluster_agents'};False;None;enabled;True;None;default_off;None;True;False;none;[];True;{'id': 4707494, 'name': 'ACDH-CH', 'path': 'acdh-oeaw', 'kind': 'group', 'full_path': 'acdh-oeaw', 'parent_id': None, 'avatar_url': '/uploads/-/system/group/avatar/4707494/acdh-ch-logo.png', 'web_url': 'https://gitlab.com/groups/acdh-oeaw'};https://gitlab.com/acdh-oeaw/parlat_utils.git;enabled;;None;False;enabled;False;True;registry.gitlab.com/acdh-oeaw/parlat_utils;0;parlat_utils;;None;enabled;[];False;enabled;3649744;private;git@gitlab.com:acdh-oeaw/parlat_utils.git;None;https://gitlab.com/acdh-oeaw/parlat_utils;enabled;None;;None;0;False;acdh-oeaw/parlat_utils;None;;ACDH-CH / parlat_utils;True;enabled;merge;enabled;None;None
