,URI,cnt,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2000/01/rdf-schema#label,http://www.w3.org/2000/01/rdf-schema#subClassOf,Examples (base URI),http://www.w3.org/2000/01/rdf-schema#comment,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://www.w3.org/2002/07/owl#equivalentClass,http://www.w3.org/2000/01/rdf-schema#isDefinedBy,http://www.openlinksw.com/schemas/virtrdf#isGcResistantType
0,http://www.w3.org/2002/07/owl#InverseFunctionalProperty,3,http://www.w3.org/2000/01/rdf-schema#Class,InverseFunctionalProperty,http://www.w3.org/2002/07/owl#ObjectProperty,"['http://xmlns.com/foaf/0.1/', 'http://linkedopencommerce.com/schemas/icecat/v1/']",,,,,
1,http://www.w3.org/2002/07/owl#SymmetricProperty,0,http://www.w3.org/2000/01/rdf-schema#Class,SymmetricProperty,http://www.w3.org/2002/07/owl#ObjectProperty,,,,,,
2,http://www.w3.org/2002/07/owl#FunctionalProperty,0,http://www.w3.org/2000/01/rdf-schema#Class,FunctionalProperty,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,,,,,
3,http://www.w3.org/2002/07/owl#TransitiveProperty,0,http://www.w3.org/2000/01/rdf-schema#Class,TransitiveProperty,http://www.w3.org/2002/07/owl#ObjectProperty,,,,,,
4,http://www.w3.org/2002/07/owl#Class,16,http://www.w3.org/2000/01/rdf-schema#Class,Class,http://www.w3.org/2000/01/rdf-schema#Class,"['http://www.w3.org/2002/07/', 'nodeID://']",,,,,
5,http://www.w3.org/2002/07/owl#Ontology,3,http://www.w3.org/2000/01/rdf-schema#Class,Ontology,,"['http://www.w3.org/2002/07/', 'http://www.openlinksw.com/schemas/', 'https://w3id.org/']",,,,,
6,http://www.w3.org/2002/07/owl#OntologyProperty,4,http://www.w3.org/2000/01/rdf-schema#Class,OntologyProperty,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,['http://www.w3.org/2002/07/'],,,,,
7,http://www.w3.org/2002/07/owl#AnnotationProperty,5,http://www.w3.org/2000/01/rdf-schema#Class,AnnotationProperty,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,"['http://www.w3.org/2000/01/', 'http://www.w3.org/2002/07/']",,,,,
8,http://www.w3.org/2002/07/owl#AllDifferent,0,http://www.w3.org/2000/01/rdf-schema#Class,AllDifferent,,,,,,,
9,http://www.w3.org/2002/07/owl#Restriction,0,http://www.w3.org/2000/01/rdf-schema#Class,Restriction,http://www.w3.org/2002/07/owl#Class,,,,,,
10,http://www.w3.org/2002/07/owl#ObjectProperty,0,http://www.w3.org/2000/01/rdf-schema#Class,ObjectProperty,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,,,,,
11,http://www.w3.org/2002/07/owl#DatatypeProperty,0,http://www.w3.org/2000/01/rdf-schema#Class,DatatypeProperty,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,,,,,
12,http://www.w3.org/2002/07/owl#DeprecatedClass,0,http://www.w3.org/2000/01/rdf-schema#Class,DeprecatedClass,http://www.w3.org/2000/01/rdf-schema#Class,,,,,,
13,http://www.w3.org/2002/07/owl#DeprecatedProperty,0,http://www.w3.org/2000/01/rdf-schema#Class,DeprecatedProperty,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,,,,,
14,http://www.w3.org/2002/07/owl#DataRange,0,http://www.w3.org/2000/01/rdf-schema#Class,DataRange,,,,,,,
15,http://www.openlinksw.com/schemas/oplweb#DownloadLocation,0,"['http://www.w3.org/2000/01/rdf-schema#Class', 'http://purl.org/goodrelations/v1#ActualProductOrServicesInstance']",Download Location,http://purl.org/goodrelations/v1#ActualProductOrServicesInstance,,"
			Download Location
		",,,,
16,http://www.openlinksw.com/schemas/oplweb#ComponentArchive,0,"['http://www.w3.org/2000/01/rdf-schema#Class', 'http://purl.org/goodrelations/v1#ProductOrServiceSomeInstancePlaceholder']",Component Archive,http://purl.org/goodrelations/v1#ProductOrServiceSomeInstancePlaceholder,,"
			Component Archives
		",,,,
