,URI,cnt,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://www.w3.org/2000/01/rdf-schema#label,http://www.w3.org/2000/01/rdf-schema#domain,http://www.w3.org/2000/01/rdf-schema#range,Domain,Literal?,Range,http://www.w3.org/2000/01/rdf-schema#comment,http://www.w3.org/2000/01/rdf-schema#isDefinedBy,http://www.w3.org/2000/01/rdf-schema#type,http://www.w3.org/2000/01/rdf-schema#isDescribedUsing,http://www.w3.org/2002/07/owl#inverseOf,http://www.w3.org/2002/07/owl#equivalentProperty,http://www.openlinksw.com/schemas/virtrdf#loadAs,http://www.openlinksw.com/schemas/virtrdf#item,http://www.w3.org/2000/01/rdf-schema#subClassOf
0,http://www.w3.org/2002/07/owl#equivalentClass,73,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://www.w3.org/2000/01/rdf-schema#subClassOf,equivalentClass,http://www.w3.org/2002/07/owl#Class,http://www.w3.org/2002/07/owl#Class,"['http://purl.org/goodrelations/v1#BusinessEntity', 'http://purl.org/goodrelations/v1#Manufacturer', 'http://www.w3.org/2000/01/rdf-schema#Class']",False,,,,,,,,,,
1,http://www.w3.org/2002/07/owl#equivalentProperty,225,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,equivalentProperty,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,False,"['http://www.w3.org/2002/07/owl#AnnotationProperty', 'http://www.w3.org/2002/07/owl#InverseFunctionalProperty', 'http://www.w3.org/2002/07/owl#inverseFunctionalProperty']",,,,,,,,,
2,http://www.w3.org/2002/07/owl#inverseOf,17,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,inverseOf,http://www.w3.org/2002/07/owl#ObjectProperty,http://www.w3.org/2002/07/owl#ObjectProperty,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,False,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,,,,,,,,
3,http://www.w3.org/2002/07/owl#complementOf,3,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,complementOf,http://www.w3.org/2002/07/owl#Class,http://www.w3.org/2002/07/owl#Class,http://www.w3.org/2002/07/owl#Class,False,http://www.w3.org/2002/07/owl#Class,,,,,,,,,
4,http://www.w3.org/2002/07/owl#unionOf,14,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,unionOf,http://www.w3.org/2002/07/owl#Class,http://www.w3.org/1999/02/22-rdf-syntax-ns#List,http://www.w3.org/2002/07/owl#Class,False,,,,,,,,,,
5,http://www.w3.org/2002/07/owl#imports,2,"['http://www.w3.org/1999/02/22-rdf-syntax-ns#Property', 'http://www.w3.org/2002/07/owl#OntologyProperty']",,imports,http://www.w3.org/2002/07/owl#Ontology,http://www.w3.org/2002/07/owl#Ontology,http://www.w3.org/2002/07/owl#Ontology,False,,,,,,,,,,
6,http://www.w3.org/2002/07/owl#versionInfo,2,"['http://www.w3.org/1999/02/22-rdf-syntax-ns#Property', 'http://www.w3.org/2002/07/owl#AnnotationProperty']",,versionInfo,,,http://www.w3.org/2002/07/owl#Ontology,True,,,,,,,,,,
7,http://www.w3.org/2002/07/owl#priorVersion,1,"['http://www.w3.org/1999/02/22-rdf-syntax-ns#Property', 'http://www.w3.org/2002/07/owl#OntologyProperty']",,priorVersion,http://www.w3.org/2002/07/owl#Ontology,http://www.w3.org/2002/07/owl#Ontology,http://www.w3.org/2002/07/owl#Ontology,False,,,,,,,,,,
8,http://www.w3.org/2002/07/owl#disjointWith,0,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,disjointWith,http://www.w3.org/2002/07/owl#Class,http://www.w3.org/2002/07/owl#Class,,False,,,,,,,,,,
9,http://www.w3.org/2002/07/owl#differentFrom,0,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,differentFrom,http://www.w3.org/2002/07/owl#Thing,http://www.w3.org/2002/07/owl#Thing,,False,,,,,,,,,,
